2025-10-15_03-06-05 | Pieces: 72 | G2-0: 3 | G2-1: 3 | G2-2: 29 | G2-3: 36 | G2-4: 1
2025-10-15_03-08-22 | Pieces: 74 | G2-0: 3 | G2-1: 3 | G2-2: 30 | G2-3: 37 | G2-4: 1
2025-10-15_03-09-46 | Pieces: 75 | G2-0: 3 | G2-1: 3 | G2-2: 30 | G2-3: 38 | G2-4: 1
2025-10-15_03-35-25 | Pieces: 76 | G2-0: 3 | G2-1: 3 | G2-2: 31 | G2-3: 38 | G2-4: 1
2025-10-15_03-37-40 | Pieces: 77 | G2-0: 3 | G2-1: 4 | G2-2: 31 | G2-3: 38 | G2-4: 1
2025-10-15_03-40-09 | Pieces: 79 | G2-0: 3 | G2-1: 5 | G2-2: 32 | G2-3: 38 | G2-4: 1
2025-10-15_03-43-59 | Pieces: 82 | G2-0: 3 | G2-1: 5 | G2-2: 33 | G2-3: 40 | G2-4: 1
2025-10-15_03-45-47 | Pieces: 83 | G2-0: 3 | G2-1: 5 | G2-2: 34 | G2-3: 40 | G2-4: 1
2025-10-15_03-48-15 | Pieces: 85 | G2-0: 3 | G2-1: 5 | G2-2: 34 | G2-3: 42 | G2-4: 1
2025-10-15_03-50-03 | Pieces: 86 | G2-0: 3 | G2-1: 5 | G2-2: 34 | G2-3: 43 | G2-4: 1
2025-10-15_03-53-46 | Pieces: 89 | G2-0: 3 | G2-1: 5 | G2-2: 34 | G2-3: 46 | G2-4: 1
2025-10-15_03-56-00 | Pieces: 91 | G2-0: 3 | G2-1: 6 | G2-2: 34 | G2-3: 47 | G2-4: 1
2025-10-15_03-58-55 | Pieces: 93 | G2-0: 3 | G2-1: 6 | G2-2: 34 | G2-3: 49 | G2-4: 1
2025-10-15_04-02-21 | Pieces: 96 | G2-0: 3 | G2-1: 6 | G2-2: 34 | G2-3: 52 | G2-4: 1
2025-10-15_04-11-52 | Pieces: 106 | G2-0: 3 | G2-1: 6 | G2-2: 34 | G2-3: 62 | G2-4: 1
2025-10-15_04-14-24 | Pieces: 107 | G2-0: 3 | G2-1: 6 | G2-2: 34 | G2-3: 63 | G2-4: 1
2025-10-15_04-15-18 | Pieces: 107 | G2-0: 3 | G2-1: 6 | G2-2: 34 | G2-3: 63 | G2-4: 1
2025-10-15_04-16-57 | Pieces: 108 | G2-0: 3 | G2-1: 6 | G2-2: 35 | G2-3: 63 | G2-4: 1
2025-10-15_04-21-38 | Pieces: 112 | G2-0: 4 | G2-1: 6 | G2-2: 35 | G2-3: 66 | G2-4: 1
2025-10-15_04-25-24 | Pieces: 115 | G2-0: 4 | G2-1: 6 | G2-2: 35 | G2-3: 69 | G2-4: 1
2025-10-15_04-27-46 | Pieces: 117 | G2-0: 4 | G2-1: 6 | G2-2: 37 | G2-3: 69 | G2-4: 1
2025-10-15_04-31-21 | Pieces: 120 | G2-0: 4 | G2-1: 6 | G2-2: 40 | G2-3: 69 | G2-4: 1
2025-10-15_04-57-33 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 3 | G2-3: 0 | G2-4: 0
2025-10-15_05-09-33 | Pieces: 4 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 0
2025-10-15_05-14-12 | Pieces: 9 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 8 | G2-4: 0
2025-10-15_11-10-01 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-15_11-12-16 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 0 | G2-4: 0
2025-10-15_14-31-35 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-16_09-23-08 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-16_12-50-53 | Pieces: 1 | G2-0: 0 | G2-1: 1 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-10-16_13-00-59 | Pieces: 2 | G2-0: 0 | G2-1: 2 | G2-2: 0 | G2-3: 0 | G2-4: 0
2025-10-16_17-38-16 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-16_17-45-18 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-16_17-47-58 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-10-16_17-49-16 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-10-16_18-23-00 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-16_18-24-15 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-16_18-47-15 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-16_18-48-06 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-16_18-49-44 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-10-16_18-53-32 | Pieces: 6 | G2-0: 0 | G2-1: 0 | G2-2: 5 | G2-3: 1 | G2-4: 0
2025-10-16_18-54-59 | Pieces: 6 | G2-0: 0 | G2-1: 0 | G2-2: 5 | G2-3: 1 | G2-4: 0
2025-10-16_20-42-49 | Pieces: 6 | G2-0: 0 | G2-1: 0 | G2-2: 3 | G2-3: 3 | G2-4: 0
2025-10-16_20-43-54 | Pieces: 7 | G2-0: 0 | G2-1: 0 | G2-2: 3 | G2-3: 4 | G2-4: 0
2025-10-16_20-44-58 | Pieces: 8 | G2-0: 0 | G2-1: 0 | G2-2: 4 | G2-3: 4 | G2-4: 0
2025-10-16_20-46-04 | Pieces: 9 | G2-0: 0 | G2-1: 0 | G2-2: 5 | G2-3: 4 | G2-4: 0
2025-10-16_20-47-12 | Pieces: 10 | G2-0: 0 | G2-1: 1 | G2-2: 5 | G2-3: 4 | G2-4: 0
2025-10-16_20-48-25 | Pieces: 11 | G2-0: 0 | G2-1: 1 | G2-2: 6 | G2-3: 4 | G2-4: 0
2025-10-16_20-49-53 | Pieces: 12 | G2-0: 1 | G2-1: 1 | G2-2: 6 | G2-3: 4 | G2-4: 0
2025-10-16_20-51-01 | Pieces: 13 | G2-0: 1 | G2-1: 1 | G2-2: 7 | G2-3: 4 | G2-4: 0
2025-10-16_20-53-43 | Pieces: 15 | G2-0: 1 | G2-1: 1 | G2-2: 7 | G2-3: 6 | G2-4: 0
2025-10-16_20-56-02 | Pieces: 17 | G2-0: 1 | G2-1: 1 | G2-2: 7 | G2-3: 8 | G2-4: 0
2025-10-16_20-57-25 | Pieces: 18 | G2-0: 1 | G2-1: 1 | G2-2: 7 | G2-3: 9 | G2-4: 0
2025-10-16_20-58-44 | Pieces: 19 | G2-0: 1 | G2-1: 1 | G2-2: 7 | G2-3: 10 | G2-4: 0
2025-10-16_23-11-40 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 0
2025-10-16_23-12-19 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 0
2025-10-17_00-39-43 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 2 | G2-4: 0
2025-10-17_00-49-56 | Pieces: 4 | G2-0: 1 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 0
2025-10-17_00-52-02 | Pieces: 6 | G2-0: 1 | G2-1: 1 | G2-2: 0 | G2-3: 4 | G2-4: 0
2025-10-17_00-55-28 | Pieces: 7 | G2-0: 1 | G2-1: 1 | G2-2: 0 | G2-3: 5 | G2-4: 0
2025-10-17_00-59-02 | Pieces: 10 | G2-0: 1 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-01-24 | Pieces: 11 | G2-0: 2 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-04-44 | Pieces: 12 | G2-0: 3 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-07-56 | Pieces: 13 | G2-0: 4 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-10-54 | Pieces: 14 | G2-0: 5 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-14-57 | Pieces: 15 | G2-0: 6 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-17-37 | Pieces: 16 | G2-0: 7 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-20-04 | Pieces: 17 | G2-0: 8 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
